time_step,eval_return_mean,eval_std_mean,timestamp
0,-609.1924333843286,65.7128768051787,2022-01-13 00:18:36
10000,-606.5108681654366,71.25240838128651,2022-01-13 00:19:00
20000,-549.7426790931997,119.56507127902293,2022-01-13 00:22:03
30000,-172.21510834422168,48.27451626912317,2022-01-13 00:24:58
40000,-130.80780150928044,72.2614824735041,2022-01-13 00:27:54
50000,-176.96391280545856,47.89842650692149,2022-01-13 00:30:45
60000,-160.02583630088634,57.333914127100634,2022-01-13 00:33:47
70000,-190.99216648702114,88.71073655338336,2022-01-13 00:36:48
80000,-86.98084615632033,46.90503031747892,2022-01-13 00:39:50
90000,-71.11953986337004,46.253688598733255,2022-01-13 00:42:51
100000,-112.19002259612819,49.91794802339215,2022-01-13 00:45:52
110000,-121.53741488660071,55.1783419799404,2022-01-13 00:48:54
120000,-115.18903134467237,43.57304502435202,2022-01-13 00:51:55
130000,-99.99550403686045,63.06289055438434,2022-01-13 00:54:56
140000,-131.61106400902827,31.163262062158662,2022-01-13 00:57:57
150000,-74.91615271841766,61.68204088817695,2022-01-13 01:00:56
160000,-23.008798427302914,68.90717533273654,2022-01-13 01:03:53
170000,-33.14795545060584,71.52638859640295,2022-01-13 01:06:58
180000,-30.29521114670888,90.96987669536898,2022-01-13 01:10:03
190000,-42.288941740148665,75.83690503760245,2022-01-13 01:13:07
200000,23.818211015259294,87.06577160388197,2022-01-13 01:16:10
210000,-7.564220462347153,48.14493163003982,2022-01-13 01:19:13
220000,41.17188974573097,33.56915731653258,2022-01-13 01:22:14
230000,37.55620492557573,75.14131670436709,2022-01-13 01:25:14
240000,79.36314126610452,40.55529832585026,2022-01-13 01:28:16
250000,57.421867340491076,79.02120614764574,2022-01-13 01:31:14
260000,90.79372088409389,64.25195501625504,2022-01-13 01:34:21
270000,118.24663824200567,73.57747818634505,2022-01-13 01:37:29
280000,0.9730531513475171,137.82347917211584,2022-01-13 01:40:35
290000,18.869500530331464,95.67853352972455,2022-01-13 01:43:40
300000,88.34081788599647,109.12390877400954,2022-01-13 01:46:44
