time_step,eval_return_mean,eval_std_mean,timestamp
0,40416.60971741831,4539.74616625283,2022-01-15 02:47:57
10000,40113.993820278985,4446.954981133833,2022-01-15 02:48:15
20000,39508.45109112149,2489.671428541167,2022-01-15 02:50:39
30000,40063.557680771046,1966.9360828043805,2022-01-15 02:53:02
40000,42810.53542346673,4596.1218489595285,2022-01-15 02:55:30
50000,39665.99862625833,2813.4433538552776,2022-01-15 02:57:54
60000,39068.566048366636,4797.1879445077875,2022-01-15 03:00:17
70000,39379.45086669446,1705.1935446284526,2022-01-15 03:02:43
80000,39559.54805277743,2093.9825276018446,2022-01-15 03:05:07
90000,37306.031804557955,2506.1717288009986,2022-01-15 03:07:32
100000,38790.88521611587,2359.145066968943,2022-01-15 03:09:58
110000,40676.773377632766,2852.571611260598,2022-01-15 03:12:23
120000,37854.82483549461,756.9348468255968,2022-01-15 03:14:50
130000,40099.386706968835,2666.8629881823776,2022-01-15 03:17:16
140000,38199.34544518076,1616.5218908994548,2022-01-15 03:19:41
150000,42150.2922651156,1384.5800925965236,2022-01-15 03:22:08
160000,40406.41718999705,2755.731237395755,2022-01-15 03:24:34
170000,38440.22229226322,2381.8592395171418,2022-01-15 03:27:00
180000,37983.34187515123,2224.492982466866,2022-01-15 03:29:27
190000,39706.028646860344,2724.666220847865,2022-01-15 03:31:54
200000,41949.89007037588,1784.4302006606035,2022-01-15 03:34:21
210000,39552.37887920483,2451.882455046929,2022-01-15 03:36:48
220000,40026.217464307585,3173.1385644872844,2022-01-15 03:39:15
230000,41066.62792141358,2992.1975684954773,2022-01-15 03:41:42
240000,42511.48083184082,3501.6917213163288,2022-01-15 03:44:09
250000,39231.868612325066,1126.395976819143,2022-01-15 03:46:37
260000,41156.7485169625,2882.4719286029776,2022-01-15 03:49:05
270000,41921.11776966157,2263.1155728273297,2022-01-15 03:51:32
280000,40431.53029740701,2022.1969521587394,2022-01-15 03:54:00
290000,39434.01842392409,2280.5919445464665,2022-01-15 03:56:29
300000,41852.766630634,4134.068880192477,2022-01-15 03:58:57
310000,42509.62611946784,1144.6795928862255,2022-01-15 04:01:25
320000,43105.218168508356,1232.1832733752335,2022-01-15 04:03:54
330000,41165.3962595733,3003.5013303570718,2022-01-15 04:06:23
340000,43343.69594105729,4185.070983389735,2022-01-15 04:08:51
350000,42976.84368487401,5225.697526819006,2022-01-15 04:11:21
360000,45242.05029305357,2327.8602764872335,2022-01-15 04:13:49
