time_step,eval_return_mean,eval_std_mean,timestamp
0,-8.533053850443022,1.9263622820312234,2022-01-15 02:53:16
10000,-9.867513318162247,1.5898791782923396,2022-01-15 02:53:38
20000,37.67145461683745,58.33293097338785,2022-01-15 02:56:02
30000,2.773742002443627,15.760987922002483,2022-01-15 02:58:20
40000,477.34061314748953,14.297237138095912,2022-01-15 03:00:37
50000,53.50780247578272,9.391953970738037,2022-01-15 03:02:53
60000,856.0208723883095,322.4374530949796,2022-01-15 03:05:13
70000,713.544896374314,244.3344844322021,2022-01-15 03:07:32
80000,577.7765982290991,193.9780718512,2022-01-15 03:09:51
90000,330.6845114208641,156.87199820705655,2022-01-15 03:12:08
100000,308.3621093770022,163.57741834512152,2022-01-15 03:14:26
110000,428.27809529395347,108.41925360580184,2022-01-15 03:16:43
120000,348.6319518672603,61.40040360445444,2022-01-15 03:19:01
130000,289.4172600384892,71.69693320500693,2022-01-15 03:21:20
140000,351.6969420267725,59.61704772317783,2022-01-15 03:23:38
150000,269.3046515943277,48.844034287708425,2022-01-15 03:25:56
160000,293.4427756811991,60.00863511294975,2022-01-15 03:28:15
170000,373.89516431631677,96.60388502538571,2022-01-15 03:30:33
180000,314.8042641051158,76.43083432379653,2022-01-15 03:32:52
190000,239.44588509721584,69.82509034527104,2022-01-15 03:35:11
200000,225.36226096484341,74.86541657823828,2022-01-15 03:37:30
210000,319.76734582169115,14.514414015819183,2022-01-15 03:39:49
220000,322.2670869361488,133.0394693519227,2022-01-15 03:42:09
230000,239.4535441242715,126.79693772584605,2022-01-15 03:44:30
240000,205.44855104670256,138.523607275321,2022-01-15 03:46:49
250000,175.42130716692412,70.09089527302181,2022-01-15 03:49:09
260000,233.56140896818437,158.37190198008122,2022-01-15 03:51:28
270000,300.89581016086214,49.955800264995354,2022-01-15 03:53:48
280000,207.697567501726,88.80119580481565,2022-01-15 03:56:08
290000,253.84953472412985,110.61012783099122,2022-01-15 03:58:29
300000,283.03557608704386,56.07986028127237,2022-01-15 04:00:49
310000,339.75247106123163,69.1741130398368,2022-01-15 04:03:10
320000,256.6668405258611,44.83382271280456,2022-01-15 04:05:30
330000,213.04529999136003,78.07296388746853,2022-01-15 04:07:50
340000,203.01542620342238,46.44532728449838,2022-01-15 04:10:10
350000,210.1209107917694,24.020908254125775,2022-01-15 04:12:31
360000,227.23208539249998,80.16308287931254,2022-01-15 04:14:52
370000,253.68431778236095,81.82769996329223,2022-01-15 04:17:13
380000,210.2056638073911,79.33401564781481,2022-01-15 04:19:34
390000,157.6355968728506,75.56358534383409,2022-01-15 04:21:55
400000,198.05335405980455,37.47781481399711,2022-01-15 04:24:15
410000,162.0542276913188,10.916719741337396,2022-01-15 04:26:35
420000,238.77909034430195,26.560331526729193,2022-01-15 04:28:56
430000,263.9430718815893,58.230448775339816,2022-01-15 04:31:17
440000,248.77683232112182,42.448635921424646,2022-01-15 04:33:37
450000,278.1824201323511,60.305627228022615,2022-01-15 04:35:58
460000,206.525084104487,17.959186817351963,2022-01-15 04:38:19
470000,248.745906172542,104.09193921032256,2022-01-15 04:40:39
480000,206.12335056013822,24.467939255949563,2022-01-15 04:43:00
490000,167.20204449959755,29.077073597024143,2022-01-15 04:45:21
500000,231.22418123520737,93.1760883915367,2022-01-15 04:47:42
510000,239.16032985252264,67.14563600933833,2022-01-15 04:50:03
520000,180.88608728060916,112.22847099629952,2022-01-15 04:52:24
530000,190.94579326490776,44.44200612691794,2022-01-15 04:54:45
540000,243.54875151637083,54.897470770177954,2022-01-15 04:57:06
550000,158.55702739288486,28.084659507239866,2022-01-15 04:59:26
560000,205.7430840856203,48.8799817037549,2022-01-15 05:01:46
570000,243.74507465062274,95.8765695516165,2022-01-15 05:04:08
580000,175.0093299498762,113.41127647698181,2022-01-15 05:06:29
590000,141.95430141866342,16.55459636803607,2022-01-15 05:08:50
600000,199.09154740401942,51.140345834247604,2022-01-15 05:11:11
610000,157.85608401701978,23.722887450255453,2022-01-15 05:13:32
620000,198.19093619320284,47.19614805397779,2022-01-15 05:15:52
630000,213.17506687610185,80.79223964717475,2022-01-15 05:18:13
640000,135.96795357064482,54.14442289102484,2022-01-15 05:20:34
650000,189.50715436431784,71.27248947028795,2022-01-15 05:22:56
660000,253.37946697480547,67.22525747623052,2022-01-15 05:25:17
670000,187.52552543062293,47.342936780788335,2022-01-15 05:27:38
680000,218.962339339844,45.41452113280858,2022-01-15 05:29:59
690000,167.25193387244403,52.50199106639508,2022-01-15 05:32:20
700000,214.47393765886977,28.967281481772385,2022-01-15 05:34:41
710000,175.21370208560626,54.626413303760906,2022-01-15 05:37:02
720000,184.18111439013703,40.48842615253357,2022-01-15 05:39:23
730000,203.90172626566778,41.755843830272966,2022-01-15 05:41:37
740000,172.35656775040366,77.19045175326414,2022-01-15 05:43:52
750000,155.25692663880264,44.919471421741996,2022-01-15 05:46:05
760000,181.39966715337746,49.00238540234746,2022-01-15 05:48:18
770000,167.67003063833272,91.68875222497088,2022-01-15 05:50:32
780000,154.28617261120772,57.47528028721139,2022-01-15 05:52:47
790000,147.56895805116233,31.08771970967364,2022-01-15 05:55:00
800000,158.7987211898488,56.99481329479218,2022-01-15 05:57:14
810000,169.95201239461298,48.86078252373506,2022-01-15 05:59:28
820000,177.9017873083439,49.19376058138807,2022-01-15 06:01:42
830000,167.79176842123542,76.28442651986184,2022-01-15 06:03:56
840000,189.07010491703016,55.890638936463844,2022-01-15 06:06:11
850000,174.5040079589291,43.856583680507654,2022-01-15 06:08:25
