time_step,eval_return_mean,eval_std_mean,timestamp
0,247.91827179798238,262.9095795980784,2022-01-15 02:49:00
10000,618.8809058401753,43.79209860069884,2022-01-15 02:49:16
20000,881.858574556617,99.86020227867118,2022-01-15 02:51:36
30000,474.6668291810036,96.0638714543098,2022-01-15 02:53:56
40000,618.2884438924875,5.106538601131804,2022-01-15 02:56:15
50000,962.0761703509867,48.91195594365657,2022-01-15 02:58:34
60000,730.6585803442774,93.2698848245215,2022-01-15 03:00:52
70000,479.493695348452,165.7618633095216,2022-01-15 03:03:12
80000,825.8751134708762,28.37921575693966,2022-01-15 03:05:31
90000,382.24257824296825,249.63309559210236,2022-01-15 03:07:50
100000,643.6270690381967,97.28945132826057,2022-01-15 03:10:09
110000,483.0080712690439,234.1124321518125,2022-01-15 03:12:28
120000,503.1513732481429,197.75558490636044,2022-01-15 03:14:48
130000,528.8823589959529,227.59231875163294,2022-01-15 03:17:08
140000,568.9928901561323,248.250320984854,2022-01-15 03:19:28
150000,416.46814537151283,267.2959521099735,2022-01-15 03:21:49
160000,623.8425214746756,101.30975130950728,2022-01-15 03:24:10
170000,551.2688170468996,339.44894201632485,2022-01-15 03:26:31
180000,490.4406253928857,253.88976502605564,2022-01-15 03:28:52
190000,317.0973599879646,347.16783404870137,2022-01-15 03:31:13
200000,636.567323392987,211.40705584438822,2022-01-15 03:33:35
210000,551.8222185615022,286.42722405167166,2022-01-15 03:35:55
220000,435.88109618343816,232.19820553861314,2022-01-15 03:38:17
230000,874.7515249467249,218.62549072646166,2022-01-15 03:40:39
240000,556.7391745426021,323.4094236140193,2022-01-15 03:43:01
250000,257.16106728231915,218.62330631246226,2022-01-15 03:45:23
260000,657.4577705390031,212.98696501574867,2022-01-15 03:47:44
270000,436.68643797807016,214.1263744322795,2022-01-15 03:50:07
280000,451.5969713253362,225.96063782427314,2022-01-15 03:52:28
290000,594.4281568001069,257.87495687920614,2022-01-15 03:54:51
300000,644.1949530516513,314.208467036041,2022-01-15 03:57:14
310000,525.1942659086211,161.29834715352496,2022-01-15 03:59:36
320000,447.9874397842682,305.4158450010254,2022-01-15 04:01:59
330000,281.5884971401321,220.22486635171154,2022-01-15 04:04:21
340000,152.98459748852488,196.90303690972235,2022-01-15 04:06:44
350000,287.65262639234106,207.01867268453617,2022-01-15 04:09:07
360000,257.0496674109608,248.9650990449727,2022-01-15 04:11:29
370000,353.6173638770527,201.8682763665587,2022-01-15 04:13:52
380000,374.92094473160125,263.3114893790627,2022-01-15 04:16:15
390000,344.19751671284985,267.1564864452681,2022-01-15 04:18:38
400000,623.2527614584543,314.6684508158969,2022-01-15 04:21:01
410000,216.35433538568267,140.42959071748922,2022-01-15 04:23:23
420000,381.94506035606776,324.0177532806857,2022-01-15 04:25:46
430000,322.9640749579338,141.69861498268207,2022-01-15 04:28:08
440000,321.52052959197175,283.6031532218497,2022-01-15 04:30:31
450000,269.61223605375847,202.86765198078737,2022-01-15 04:32:54
460000,272.17397520326074,171.16674979577752,2022-01-15 04:35:15
470000,313.15034899015046,170.71664630683716,2022-01-15 04:37:38
480000,200.2416300209912,151.05255610632932,2022-01-15 04:40:00
490000,302.52895261250524,205.3826623010362,2022-01-15 04:42:22
500000,362.5886704910596,229.28341854661969,2022-01-15 04:44:44
510000,344.9304583945668,167.56628521932063,2022-01-15 04:47:07
520000,199.03067365899784,168.81967473956323,2022-01-15 04:49:28
530000,283.79883853355625,293.1894772429152,2022-01-15 04:51:50
540000,204.73537433608175,198.78499581922011,2022-01-15 04:54:12
550000,176.9130782092371,177.207189781322,2022-01-15 04:56:34
560000,569.8051686204851,409.39632287150755,2022-01-15 04:58:57
570000,367.60701404218923,359.9135344271749,2022-01-15 05:01:20
580000,201.72150248952613,224.4391987782488,2022-01-15 05:03:42
590000,268.3450157215347,123.27869415038707,2022-01-15 05:06:05
600000,488.63662654607185,252.75555229711907,2022-01-15 05:08:28
610000,366.1120229065849,175.8292747065045,2022-01-15 05:10:49
620000,200.29314987659168,166.83082949283028,2022-01-15 05:13:13
630000,183.59454051048084,155.1500274561518,2022-01-15 05:15:34
640000,255.2699013216806,229.75851624363293,2022-01-15 05:17:57
650000,102.04963231392479,58.558240247199066,2022-01-15 05:20:17
660000,133.80671556598256,94.83441814869282,2022-01-15 05:22:38
670000,210.57113190036526,111.72116180183284,2022-01-15 05:24:58
680000,297.3555223782857,203.84371791659373,2022-01-15 05:27:21
690000,168.31951698177994,114.98617042723788,2022-01-15 05:29:42
700000,181.54191876717886,183.10892497821675,2022-01-15 05:32:05
710000,90.67445232090763,48.72469974398673,2022-01-15 05:34:25
720000,317.1653874134081,256.14865991921283,2022-01-15 05:36:47
730000,81.83867132875645,40.41910098795127,2022-01-15 05:39:08
740000,273.3232849606192,313.42663357907844,2022-01-15 05:41:24
750000,303.8897219165009,164.77804584717683,2022-01-15 05:43:40
760000,328.66724861231734,456.2801903881539,2022-01-15 05:45:55
770000,323.5880610476699,192.9462205816868,2022-01-15 05:48:10
780000,158.99762556959197,144.6735484330692,2022-01-15 05:50:27
790000,365.6030946155262,211.74141829779853,2022-01-15 05:52:43
800000,280.16797558430756,185.02187838534778,2022-01-15 05:54:56
810000,231.18593915630285,171.68162319648684,2022-01-15 05:57:12
820000,444.3233229454051,304.11590002187967,2022-01-15 05:59:29
830000,239.97832756172747,128.856503246253,2022-01-15 06:01:45
840000,312.1661101868739,167.19458953466983,2022-01-15 06:04:01
850000,481.8609559201177,332.9818153448678,2022-01-15 06:06:18
